netuid,name,symbol,snapshot_utc,block,row_status,miner_burn,reg_cost_tao,reg_cost_usd,registration_allowed,max_uids,active_uids,free_uids,immunity_period,tempo,price_tao,tao_usd,subnet_age_days,registered_block,weights_version,mechanism_count,competitive_miner_alpha_day,competitive_miner_usd_day,competitive_miner_uid,competitive_median_usd_day,competitive_earners,median_miner_usd_day,top_miner_usd_day,top_miner_uid,top_miner_is_owner,top_miner_is_permitted,top1_share,top10_share,gini,earners,owner_cut_frac,owner_incentive_share,burn_disagreement,github_url_onchain,github_url_resolved,repo_status,repo_status_reason,readme_sha,readme_bytes,readme_task_sections,last_commit_utc,latest_release,latest_release_utc,scoring_commit_utc,scoring_commit_title,min_compute_present,min_compute_is_template,required_vram_gb,gpu_class_required,gpu_class_basis,machine_class_cheapest,machine_cost_usd_day,machine_tier,machine_assumed,net_margin_usd_day,net_margin_top_usd_day,payback_days,gate_status,gate_reason,income_pts,freshness_pts,resource_pts,registration_pts,freshness_reason,confidence,confidence_reason,score,rank,description,website
89,InfiniteQuant,ᛒ,2026-08-24T11:39:23Z,8914566,ok,0,0.05,11.9145,True,256,79,0,5000,360,0.00352526,238.29,500.2,5313364,0,2,135.969,114.218,218,3.56369,72,3.56369,114.218,218,False,False,0.0677824,0.544488,0.689953,72,0.442397,0,0,https://github.com/DeltaCompute24/InfiniteQuant-Subnet,https://github.com/DeltaCompute24/InfiniteQuant-Subnet,ok,,79a216c4aee16e59,22552,af753e3216a79781,2026-08-23T15:48:41Z,,,2026-08-21T18:27:38Z,Scoring: build the qualified-win as-of window from RESOLVED outcomes,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,-4.6555,105.999,,OK,,0,35,11.25,0,SCORING_COMMIT 2.7d ago,0.85,hardware requirement unknown,39.3,40,Proof of Edge - Trading signals,https://infinitequant.app
90,KubeTEE,テ,2026-08-24T11:39:23Z,8914566,ok,0.82947,0.0005,0.119145,True,256,6,163,5000,360,0.0431442,238.29,41.1,8618670,0,1,503.377,5175.13,56,5175.13,1,15174.4,25173.6,0,True,True,0.829478,1,0.329478,2,0.179995,0.829478,0,https://github.com/KubeTEE-AI/kubetee-subnet,https://github.com/KubeTEE-AI/kubetee-subnet,ok,,04aab25b4fc25cb3,85008,1adff40174e46f0e,2026-08-23T13:11:06Z,v1.1.6 — subtensor v445 / typed metagraph APIs,2026-08-23T12:38:07Z,2026-08-23T13:08:10Z,docs(sn28): announce recycler and how to verify AlphaRecycled,False,False,141,multi-GPU,README keywords (GUESS),h200-141,78.9041,4,False,5096.22,5096.22,0,OK,,33.72,35,0,10,SCORING_COMMIT 0.9d ago,0.6,"hardware from README keywords, not curated; income rests on 1 competitive miner (n<=2: not a distribution)",47.2,33,KubeTEE AI Factory: Confidential Computing TEE Multi-Cluster K8s,https://kubetee.ai
91,cascade,ᚁ,2026-08-24T11:39:23Z,8914566,ok,0,0.1,23.829,True,256,12,0,5000,360,0.00797098,238.29,177.9,7633645,0,1,1523.6,2893.93,106,723.483,5,723.483,2893.93,106,False,False,0.516129,1,0.464516,5,0.179995,0,0,https://github.com/TensorLink-AI/cascade,https://github.com/TensorLink-AI/cascade,ok,,84f0e5e50b1aad9d,21692,465231d881190999,2026-08-24T10:18:06Z,pre-decay-wsd-contract,2026-08-15T11:02:58Z,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,715.264,2885.71,0.03,OK,,25.97,35,11.25,9.99,SCORING_COMMIT 3.5d ago,0.85,hardware requirement unknown,69.9,8,SOTA Time Series Foundation Models,cascadesub.net
92,MicroTensor,ᚂ,2026-08-24T11:39:23Z,8914566,ok,1,0.1,23.829,True,256,6,0,5000,360,0.00395822,238.29,78.1,8352006,0,1,,,,,0,2784.36,2784.36,0,True,True,1,1,0,1,0.179995,1,0,https://github.com/microtensor-io/microtensor-subnet,https://github.com/microtensor-io/microtensor-subnet,ok,,9f30fb22f86d7cbb,8964,927a737990a07446,2026-08-24T10:30:26Z,v0.1.14,2026-08-22T14:32:24Z,2026-08-24T10:30:26Z,Say which round source the validator used,True,False,0,cpu-only,min_compute.yml (curated),cpu-small,0.9863,0,False,,,,BLOCKED:burn,"miner_burn=1.000 - 100.0% of miner emission is withheld by owner-controlled hotkeys, so miners earn nothing here",,,,,,,,,,A model factory and deployment layer for verified specialist AI,https://microtensor.vercel.app
93,Bitcast,ᚃ,2026-08-24T11:39:23Z,8914566,ok,0,0.005,1.19145,True,256,17,0,50400,360,0.0163588,238.29,492.2,5370681,0,2,16.9912,66.2338,153,10.655,3,38.4444,9349.33,155,False,True,0.990829,1,0.743828,4,0.327586,0,0,https://github.com/bitcast-network/bitcast,https://github.com/bitcast-network/bitcast,ok,,65c36b733aac124d,5454,5de54c6ccaf9a3bb,2026-08-08T12:54:45Z,,,2026-07-29T14:43:46Z,fix: deploy workflows not updating ECS service to new task definition…,True,False,,unknown,no evidence,rtx4090,8.2192,1,True,2.4358,58.0146,0.49,OK,,4.88,21,11.25,9.84,SCORING_COMMIT 26d ago,0.85,hardware requirement unknown,39.9,37,The Decentralized Creators Economy,https://stats.bitcast.network/
94,pending...,ᚄ,2026-08-24T11:39:23Z,8914566,ok,1,0.0005,0.119145,True,256,13,0,5000,360,0.00339874,238.29,271.1,6962737,0,1,,,,,0,2390.8,2390.8,0,True,True,1,1,0,1,0.179995,1,0,https://github.com/AlveusLabs/SN94-BitSota,https://github.com/AlveusLabs/SN94-BitSota,ok,,23aaadfc2a802208,7798,4a7dfbbbf28f4e93,2026-06-11T19:46:11Z,Internal Testnet GUI (Latest),2026-02-22T23:46:20Z,2026-06-09T17:37:28Z,Document reward claim key model,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,BLOCKED:burn,"miner_burn=1.000 - 100.0% of miner emission is withheld by owner-controlled hotkeys, so miners earn nothing here",,,,,,,,,,pending...,pending...
95,Actual,ᚅ,2026-08-24T11:39:23Z,8914566,ok,1,0.0005,0.119145,True,256,13,0,5000,360,0.0485426,238.29,487.6,5403674,0,1,,,,,0,34146.6,34146.6,0,True,True,1,1,0,1,0.179995,1,0,https://github.com/actual-computer/actual-subnet-95,https://github.com/actual-computer/actual-subnet-95,dead,HTTP 404 (deleted or private),,0,,,,,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,BLOCKED:burn,"miner_burn=1.000 - 100.0% of miner emission is withheld by owner-controlled hotkeys, so miners earn nothing here",,,,,,,,,,Heterogeneous inference network by Actual Computer Inc.,https://actual.inc
96,Verathos,᚛,2026-08-24T11:39:23Z,8914566,ok,0.404494,0.1,23.829,True,256,101,0,5000,360,0.00791758,238.29,169.7,7692872,1000,1,103.198,194.701,189,28.1726,94,28.3001,2252.79,0,True,True,0.404801,0.581302,0.621122,95,0.179995,0.404801,0.0003,https://github.com/verathos-ai/verathos,https://github.com/verathos-ai/verathos,ok,,dc6a185ffab185d6,7772,df77633af9c39c17,2026-08-18T12:39:12Z,Verathos v0.1.41 - Bounded Replay and Runtime Stability,2026-08-18T15:56:35Z,2026-08-18T12:39:12Z,fix: prevent validator-created audit overlap,True,False,24,24GB consumer,min_compute.yml (curated),rtx4090,8.2192,1,False,19.9535,186.482,1.19,OK,,12.02,35,11.25,9.6,RELEASE 5.8d ago,1,,67.9,11,Verified AI inference and training subnet.,https://verathos.ai
97,Albedo,ა,2026-08-24T11:39:23Z,8914566,ok,0,0.145763,34.7339,True,256,7,0,5000,360,0.0225144,238.29,163.8,7735450,0,1,590.358,3167.24,106,3167.24,3,3167.24,3167.24,72,False,True,0.2,1,0,5,0.179995,0,0,https://github.com/unarbos/albedo,https://github.com/unarbos/albedo,ok,,,0,,2026-08-22T15:02:26Z,,,2026-08-22T11:21:02Z,feat: weighted score breakdown on eval detail page,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,3159.02,3159.02,0.01,OK,,31.83,35,11.25,10,SCORING_COMMIT 0.2d ago,0.6,hardware requirement unknown; no README readable,52.8,28,Alchemical intelligence,https://us-east-1.hippius.com/albedo/index.html
98,NeverPlayAlone,ბ,2026-08-24T11:39:23Z,8914566,ok,0,0.1,23.829,True,256,11,0,5000,360,0.00288077,238.29,481.7,5445992,0,1,2952.02,2026.44,236,2026.44,1,2026.44,2026.44,236,False,False,1,1,0,1,0.179995,0,0,https://github.com/neverplayalone/neverplayalone_subnet,https://github.com/neverplayalone/neverplayalone_subnet,ok,,3941d432e5ace9e0,8359,703d26a2d0a8124a,2026-08-07T05:49:16Z,,,2026-08-07T05:49:16Z,chore: set TASKS_PER_ROUND as 5,False,False,0,cpu-only (dev box),code-submission (validator runs it),cpu-small,0.9863,0,False,2025.45,2025.45,0.01,OK,,30.08,21,15,10,SCORING_COMMIT 17d ago,0.85,income rests on 1 competitive miner (n<=2: not a distribution),64.7,15,Living AI Companions that create memories alongside you,https://neverplayalone.ai
